['  ', 'AL', 'AK', 'AZ', 'AR', 'CA', 'CO', 'CT', 'DE', 'FL', 'GA', 'HI', 'ID', 'IL', 'IN', 'IA', 'KS', 'KY', 'LA', 'ME', 'MD', 'MA', 'MI', 'MN', 'MS', 'MO', 'MT', 'NE', 'NV', 'NH', 'NJ', 'NM', 'NY', 'NC', 'ND', 'OH', 'OK', 'OR', 'PA', 'RI', 'SC', 'SD', 'TN', 'TX', 'UT', 'VT', 'VA', 'WA', 'WV', 'WI', 'WY']
['AL', 1, 0.06854569623449897, 0.11903354158604264, 0.10505727040666948, 0.11350436479368337, 0.07559266712088132, 0.08493310414950253, 0.19586207180812365, 0.053329577894382786, 0.10362633290888217, 0.1354734531071253, 0.06484486606611947, 0.061790276038217115, 0.10329729443295087, 0.23017959114044412, 0.12505774957444643, 0.3425329734675897, 0.06605454028257578, 0.04678831700948954, 0.11087712851624935, 0.15436554409103706, 0.10220798829807766, 0.19445757575231765, 0.13364283265027221, 0.09673661486068787, 0.09487771866316602, 0.296659813605511, 0.16418520707062415, 0.36884977729272933, 0.031494493208785716, 0.4045346788216638, 0.1167337450253071, 0.04190675343696999, 0.32341320758668407, 0.31423550218818724, 0.1873558538297714, 0.06010958028105026, 0.23072605335914062, 0.3061675538437944, 0.009914043240610947, 0.26914158932600835, 0.1642593630337335, 0.18382772119850432, 0.20917262391341712, 0.0614288667872967, 0.1110047393224462, 0.032808465897148816, 0, 0.0037249703723457013, 0.13455639067895675]
['AK', 0.06854569623449897, 1, 0.050487845351543666, 0.17360296664116845, 0.18205006102818233, 0.007046970886382345, 0.016387407915003555, 0.12731637557362468, 0.12187527412888176, 0.17217202914338114, 0.20401914934162427, 0.13339056230061844, 0.1303359722727161, 0.034751598198451895, 0.2987252873749431, 0.1936034458089454, 0.27398727723309074, 0.0024911559519231923, 0.02175737922500943, 0.04233143228175038, 0.0858198478565381, 0.03366229206357869, 0.2630032719868166, 0.20218852888477118, 0.02819091862618889, 0.163423414897665, 0.36520550984001, 0.0956395108361252, 0.30030408105823037, 0.10004018944328469, 0.3359889825871648, 0.18527944125980608, 0.11045244967146896, 0.39195890382118304, 0.24568980595368828, 0.11881015759527244, 0.12865527651554923, 0.16218035712464166, 0.23762185760929544, 0.07845973947510992, 0.3376872855605073, 0.09571366679923453, 0.2523734174330033, 0.14062692767891816, 0.12997456302179566, 0.17955043555694516, 0.10135416213164779, 0, 0.07227066660684467, 0.06601069444445777]
['AZ', 0.11903354158604264, 0.050487845351543666, 1, 0.22409081199271214, 0.23253790637972602, 0.043440874465161324, 0.034100437436540114, 0.07682853022208101, 0.17236311948042543, 0.2226598744949248, 0.25450699469316795, 0.1838784076521621, 0.18082381762425975, 0.01573624715309177, 0.34921313272648674, 0.24409129116048908, 0.22349943188154708, 0.05297900130346686, 0.07224522457655311, 0.008156413069793289, 0.03533200250499442, 0.016825553287964982, 0.31349111733836027, 0.25267637423631484, 0.022296926725354774, 0.21391126024920865, 0.4156933551915537, 0.04515166548458152, 0.2498162357066867, 0.15052803479482835, 0.2855011372356211, 0.23576728661134974, 0.16094029502301263, 0.44244674917272664, 0.19520196060214462, 0.06832231224372878, 0.17914312186709289, 0.11169251177309798, 0.18713401225775175, 0.12894758482665358, 0.38817513091205097, 0.045225821447690856, 0.30286126278454695, 0.09013908232737448, 0.18046240837333932, 0.23003828090848882, 0.15184200748319146, 0, 0.12275851195838834, 0.015522849092914107]
['AR', 0.10505727040666948, 0.17360296664116845, 0.22409081199271214, 1, 0.008447094387013883, 0.1806499375275508, 0.18999037455617201, 0.3009193422147931, 0.051727692512286705, 0.00143093749778732, 0.03041618270045582, 0.040212404340550026, 0.04326699436845237, 0.20835456483962037, 0.12512232073377463, 0.020000479167776943, 0.4475902438742592, 0.17111181068924528, 0.15184558741615903, 0.21593439892291882, 0.25942281449770654, 0.20726525870474716, 0.08940030534564816, 0.02858556224360272, 0.20179388526735734, 0.010179551743503473, 0.19160254319884157, 0.26924247747729363, 0.47390704769939884, 0.07356277719788377, 0.5095919492283333, 0.011676474618637621, 0.06315051696969949, 0.21835593718001456, 0.41929277259485676, 0.2924131242364409, 0.04494769012561923, 0.3357833237658101, 0.41122482425046386, 0.09514322716605854, 0.16408431891933886, 0.26931663344040296, 0.07877045079183484, 0.31422989432008663, 0.04362840361937279, 0.0059474689157767045, 0.07224880450952068, 0, 0.1013323000343238, 0.23961366108562623]
['CA', 0.11350436479368337, 0.18205006102818233, 0.23253790637972602, 0.008447094387013883, 1, 0.1890970319145647, 0.1984374689431859, 0.309366436601807, 0.060174786899300586, 0.009878031884801203, 0.021969088313441937, 0.04865949872756391, 0.05171408875546626, 0.21680165922663425, 0.11667522634676075, 0.01155338478076306, 0.45603733826127313, 0.17955890507625916, 0.1602926818031729, 0.22438149330993273, 0.26786990888472045, 0.21571235309176104, 0.08095321095863428, 0.020138467856588835, 0.21024097965437125, 0.018626646130517354, 0.18315544881182766, 0.27768957186430754, 0.48235414208641275, 0.08200987158489766, 0.5180390436153471, 0.003229380231623738, 0.07159761135671337, 0.20990884279300068, 0.4277398669818706, 0.3008602186234548, 0.05339478451263311, 0.344230418152824, 0.41967191863747777, 0.10359032155307242, 0.15563722453232498, 0.2777637278274169, 0.07032335640482096, 0.3226769887071005, 0.052075498006386674, 0.002499625471237179, 0.08069589889653456, 0, 0.10977939442133768, 0.24806075547264012]
['CO', 0.07559266712088132, 0.007046970886382345, 0.043440874465161324, 0.1806499375275508, 0.1890970319145647, 1, 0.00934043702862121, 0.12026940468724233, 0.1289222450152641, 0.1792190000297635, 0.21106612022800664, 0.14043753318700078, 0.13738294315909844, 0.027704627312069553, 0.3057722582613254, 0.20065041669532774, 0.2669403063467084, 0.009538126838305537, 0.028804350111391777, 0.03528446139536803, 0.07877287697015574, 0.026615321177196342, 0.27005024287319895, 0.20923549977115352, 0.021143947739806546, 0.17047038578404733, 0.37225248072639233, 0.08859253994974284, 0.293257110171848, 0.10708716032966703, 0.3289420117007824, 0.19232641214618842, 0.11749942055785131, 0.3990058747075654, 0.23864283506730594, 0.1117631867088901, 0.13570224740193157, 0.1551333862382593, 0.23057488672291307, 0.08550671036149227, 0.34473425644688965, 0.08866669591285219, 0.25942038831938563, 0.13357995679253581, 0.137021533908178, 0.1865974064433275, 0.10840113301803013, 0, 0.07931763749322701, 0.05896372355807543]
['CT', 0.08493310414950253, 0.016387407915003555, 0.034100437436540114, 0.18999037455617201, 0.1984374689431859, 0.00934043702862121, 1, 0.11092896765862112, 0.1382626820438853, 0.18855943705838468, 0.22040655725662783, 0.149777970215622, 0.14672338018771963, 0.018364190283448344, 0.3151126952899466, 0.20999085372394896, 0.2575998693180872, 0.018878563866926747, 0.03814478714001299, 0.025944024366746823, 0.06943243994153453, 0.017274884148575132, 0.27939067990182015, 0.21857593679977474, 0.011803510711185338, 0.17981082281266855, 0.3815929177550136, 0.07925210292112163, 0.2839166731432268, 0.11642759735828824, 0.3196015746721612, 0.20166684917480965, 0.1268398575864725, 0.4083463117361866, 0.2293023980386847, 0.10242274968026889, 0.1450426844305528, 0.1457929492096381, 0.22123444969429187, 0.09484714739011348, 0.35407469347551085, 0.07932625888423098, 0.2687608253480068, 0.1242395197639146, 0.14636197093679923, 0.19593784347194873, 0.11774157004665134, 0, 0.08865807452184822, 0.04962328652945422]
['DE', 0.19586207180812365, 0.12731637557362468, 0.07682853022208101, 0.3009193422147931, 0.309366436601807, 0.12026940468724233, 0.11092896765862112, 1, 0.24919164970250643, 0.29948840471700583, 0.3313355249152489, 0.2607069378742431, 0.2576523478463408, 0.09256477737517278, 0.42604166294856777, 0.3209198213825701, 0.14667090165946609, 0.12980753152554786, 0.1490737547986341, 0.0849849432918743, 0.04149652771708658, 0.09365408351004599, 0.3903196475604413, 0.32950490445839586, 0.09912545694743578, 0.29073979047128967, 0.49252188541363473, 0.031676864737499484, 0.17298770548460568, 0.22735656501690937, 0.2086726070135401, 0.31259581683343074, 0.23776882524509363, 0, 0.11837343038006361, 0.008506217978352229, 0.2559716520891739, 0.03486398155101698, 0.11030548203567075, 0.20577611504873458, 0.46500366113413205, 0.03160270877439015, 0.379689793006628, 0.013310552105293482, 0.25729093859542035, 0.30686681113056985, 0.22867053770527246, 0.4807247206051923, 0.19958704218046935, 0.0613056811291669]
['FL', 0.053329577894382786, 0.12187527412888176, 0.17236311948042543, 0.051727692512286705, 0.060174786899300586, 0.1289222450152641, 0.1382626820438853, 0.24919164970250643, 1, 0.050296755014499386, 0.08214387521274252, 0.011515288171736682, 0.008460698143834334, 0.15662687232733366, 0.17685001324606134, 0.07172817168006365, 0.3958625513619725, 0.11938411817695856, 0.10011789490387232, 0.16420670641063212, 0.20769512198541984, 0.15553756619246045, 0.14112799785793487, 0.08031325475588942, 0.15006619275507063, 0.041548140768783236, 0.24333023571112827, 0.21751478496500695, 0.42217935518711214, 0.021835084685597063, 0.4578642567160465, 0.06340416713092432, 0.01142282445741279, 0.27008362969230126, 0.36756508008257005, 0.2406854317241542, 0.006780002386667477, 0.2840556312535234, 0.35949713173817716, 0.043415534653771834, 0.21581201143162557, 0.2175889409281163, 0.13049814330412154, 0.26250220180779993, 0.008099288892913913, 0.057675161428063414, 0.020521111997233967, 0, 0.04960460752203708, 0.18788596857333953]
['GA', 0.10362633290888217, 0.17217202914338114, 0.2226598744949248, 0.00143093749778732, 0.009878031884801203, 0.1792190000297635, 0.18855943705838468, 0.29948840471700583, 0.050296755014499386, 1, 0.03184712019824314, 0.0387814668427627, 0.04183605687066505, 0.20692362734183303, 0.12655325823156194, 0.021431416665564265, 0.4461593063764719, 0.16968087319145794, 0.1504146499183717, 0.21450346142513152, 0.2579918769999192, 0.20583432120695982, 0.09083124284343548, 0.030016499741390038, 0.20036294776957003, 0.008748614245716152, 0.19303348069662887, 0.26781153997950635, 0.4724761102016115, 0.07213183970009646, 0.508161011730546, 0.013107412116424941, 0.06171957947191217, 0.2197868746778019, 0.4178618350970694, 0.29098218673865356, 0.04351675262783191, 0.33435238626802277, 0.4097938867526766, 0.09371228966827122, 0.16551525641712617, 0.2678856959426157, 0.08020138828962216, 0.3127989568222993, 0.042197466121585474, 0.007378406413564025, 0.07081786701173336, 0, 0.09990136253653646, 0.2381827235878389]
